score_time,perf_time
0.43,1.57
0.72,1.89
0.87,2.1
1.31,2.57
1.76,3.02
2.20,3.53
2.48,3.72
2.64,4.00
3.08,4.52
3.52,4.98
3.96,5.45
4.25,5.75
4.39,5.94
4.84,6.40
5.28,6.85
5.58,7.23
5.73,7.33
6.01,7.64
6.17,7.80
6.61,8.29
7.05,8.76
7.49,9.28
7.77,9.57
7.93,9.82
8.37,10.27
8.82,10.68
9.25,11.16
9.54,11.49
9.69,11.67
10.12,12.13
10.56,12.59
11.02,13.08
11.30,13.38
11.45,13.56
11.89,14.03
12.33,14.48
12.63,14.81
12.79,14.95
13.07,15.27
13.22,15.49
13.65,15.94
14.09,16.48
16.30,18.73
16.59,19.11
16.74,19.29
17.04,19.55
17.18,19.74
17.48,20.10
17.63,20.30
18.06,20.78
18.50,21.24
18.81,21.55
18.95,21.73
19.24,22.03
19.39,22.18
19.69,22.44
19.83,22.81
20.28,23.12
20.71,23.58
21.01,23.88
21.16,24.12
21.46,24.39
21.60,24.59
21.90,24.83
22.04,25.06
22.34,25.32
22.48,25.53
22.78,25.79
22.92,26.03
23.21,26.29
23.36,26.48
23.65,26.78
23.80,26.99
24.25,27.50
24.68,28.00
24.99,28.28
25.13,28.49
25.42,28.78
25.57,28.96
25.86,29.23
26.01,29.62
26.44,29.99
26.89,30.43
27.18,30.75
27.33,30.96
27.63,31.23
27.78,31.43
28.07,31.71
28.21,32.07
28.65,32.40
29.09,32.85
29.39,33.14
29.53,33.45
29.82,33.65
29.97,33.84
30.28,34.08
20.42,34.32
30.72,34.58
30.86,34.78
31.16,35.05
31.31,35.29
31.60,35.56
31.75,35.73
32.05,36.01
32.19,36.42
