note_name, time_rec, time_midi
C5,1.57,0.43
C5,1.89,0.72
F5,2.1,0.87
G5,2.57,1.31
E5,3.02,1.76
C5,3.53,2.20
C5,3.72,2.48
F5,4.00,2.64
G5,4.52,3.08
E5,4.98,3.52
C5,5.45,3.96
D5,5.75,4.25
E5,5.94,4.39
F5,6.40,4.84
D5,6.85,5.28
C5,7.23,5.58
B4,7.33,5.73
C5,7.64,6.01
D5,7.80,6.17
E5,8.29,6.61
C5,8.76,7.05
C5,9.28,7.49
C5,9.57,7.77
F5,9.82,7.93
G5,10.27,8.37
E5,10.68,8.82
C5,11.16,9.25
C5,11.49,9.54
F5,11.67,9.69
G5,12.13,10.12
E5,12.59,10.56
C5,13.08,11.02
D5,13.38,11.30
E5,13.56,11.45
F5,14.03,11.89
D5,14.48,12.33
C5,14.81,12.63
B4,14.95,12.79
C5,15.27,13.07
D5,15.49,13.22
E5,15.94,13.65
C5,16.48,14.09
E5,18.73,16.30
D5,19.11,16.59
C5,19.29,16.74
D5,19.55,17.04
E5,19.74,17.18
D5,20.10,17.48
C5,20.30,17.63
C5,20.7818.06
E5,21.24,18.50
D5,21.55,18.81
C5,21.73,18.95
D5,22.03,19.24
E5,22.18,19.39
F5,22.44,19.69
G5,22.81,19.83
G5,23.12,20.28
A5,23.58,20.71
G5,23.88,21.01
F5,24.12,21.16
A5,24.39,21.46
G5,24.59,21.60
F5,24.83,21.90
E5,25.06,22.04
G5,25.32,22.34
F5,25.53,22.48
E5,25.79,22.78
D5,26.03,22.92
F5,26.29,23.21
E5,26.48,23.36
D5,26.78,23.65
C5,26.99,23.80
C5,27.50,24.25
E5,28.00,24.68
D5,28.28,24.99
C5,28.49,25.13
D5,28.78,25.42
E5,28.96,25.57
D5,29.23,25.86
C5,29.62,26.01
C5,29.99,26.44
E5,30.43,26.89
D5,30.75,27.18
C5,30.96,27.33
D5,31.23,27.63
E5,31.43,27.78
F5,31.71,28.07
G5,32.07,28.21
G5,32.40,28.65
A5,32.85,29.09
G5,33.14,29.39
F5,33.45,29.53
A5,33.65,29.82
G5,33.84,29.97
F5,34.08,30.28
E5,34.32,20.42
G5,34.58,30.72
F5,34.78,30.86
E5,35.05,31.16
D5,35.29,31.31
F5,35.56,31.60
E5,35.73,31.75
D5,36.01,32.05
C5,36.42,32.19


